sequence_number,path,file_type,size_bytes,line_count,purpose,runtime_surface,static_callers,dynamic_usage_checked,route_or_entrypoint,CI/deployment_usage,migration/data_dependency,security_review,performance_review,disposition,evidence,tests_required,review_status,changing_commit_sha
479,mobile/linas-ai/src/features/billing/BillingScreen.tsx,javascript,10549,303,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
480,mobile/linas-ai/src/features/billing/CommonFeaturesCard.tsx,javascript,1249,37,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
481,mobile/linas-ai/src/features/billing/CurrentPlanSummary.tsx,javascript,3966,130,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
482,mobile/linas-ai/src/features/billing/PlanCardView.tsx,javascript,5634,173,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
483,mobile/linas-ai/src/features/billing/SubscriptionGateScreen.tsx,javascript,2880,88,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
484,mobile/linas-ai/src/features/billing/planCatalog.ts,javascript,2634,94,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
485,mobile/linas-ai/src/features/billing/storePricing.ts,javascript,2002,71,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
486,mobile/linas-ai/src/features/billing/subscriptionAccess.ts,javascript,1767,53,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
487,mobile/linas-ai/src/features/billing/subscriptionCta.ts,javascript,3388,123,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
488,mobile/linas-ai/src/features/billing/useSubscriptionGate.ts,javascript,1613,53,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
