path,ext,bytes,loc,hand_written,fully_read,review_status,notes
dashboard/src/components/landing/GuestChatPanel.jsx,.jsx,13366,313,YES,YES,COMPLETE,
dashboard/src/components/landing/LinasMark.jsx,.jsx,1193,31,YES,YES,COMPLETE,
dashboard/src/components/landing/LinasStar.jsx,.jsx,504,12,YES,YES,COMPLETE,
dashboard/src/components/landing/PublicSiteFooter.jsx,.jsx,2828,58,YES,YES,COMPLETE,
dashboard/src/components/landing/PublicSiteHeader.jsx,.jsx,4027,99,YES,YES,COMPLETE,
dashboard/src/components/landing/StoreBadges.jsx,.jsx,2891,79,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingAppTour.jsx,.jsx,2915,63,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingDownload.jsx,.jsx,2395,50,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingFaqContact.jsx,.jsx,5916,123,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingFeatures.jsx,.jsx,3518,91,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingHero.jsx,.jsx,5729,113,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingHowItWorks.jsx,.jsx,2734,68,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingPricing.jsx,.jsx,2162,42,YES,YES,COMPLETE,
dashboard/src/components/landing/sections/LandingResources.jsx,.jsx,3968,84,YES,YES,COMPLETE,
dashboard/src/constants/landingDesignAssets.js,.js,1661,38,YES,YES,COMPLETE,
dashboard/src/constants/permissions.jsx,.jsx,4657,189,YES,YES,COMPLETE,
dashboard/src/constants/permissions.test.js,.js,794,23,YES,YES,COMPLETE,
dashboard/src/constants/productFeatures.js,.js,1234,33,YES,YES,COMPLETE,
dashboard/src/constants/publicLandingLocale.js,.js,2616,73,YES,YES,COMPLETE,
dashboard/src/constants/publicSite.js,.js,2537,55,YES,YES,COMPLETE,
dashboard/src/contexts/AuthContext.helpers.js,.js,2136,56,YES,YES,COMPLETE,
dashboard/src/contexts/AuthContext.jsx,.jsx,10795,338,YES,YES,COMPLETE,
dashboard/src/contexts/AuthContext.locSplit.test.jsx,.jsx,1751,36,YES,YES,COMPLETE,
